Autoid;CUP;Valor;Compania
2001;903844;6695;CLINICA SAN JUAN DE DIOS
2001;903845;5320;CLINICA SAN JUAN DE DIOS
2001;904508;14960;CLINICA SAN JUAN DE DIOS
2001;907006;5940;CLINICA SAN JUAN DE DIOS
2001;903020;8390;CLINICA SAN JUAN DE DIOS
2001;903021;23435;CLINICA SAN JUAN DE DIOS
2001;906022;29975;CLINICA SAN JUAN DE DIOS
2001;906023;29975;CLINICA SAN JUAN DE DIOS
2001;906024;29975;CLINICA SAN JUAN DE DIOS
2001;906025;30720;CLINICA SAN JUAN DE DIOS
2001;901220;30720;CLINICA SAN JUAN DE DIOS
2001;902211;1425;CLINICA SAN JUAN DE DIOS
2001;911016;2645;CLINICA SAN JUAN DE DIOS
2001;902212;4200;CLINICA SAN JUAN DE DIOS
2001;911018;4200;CLINICA SAN JUAN DE DIOS
2001;911020;8510;CLINICA SAN JUAN DE DIOS
2001;901221;30400;CLINICA SAN JUAN DE DIOS
2001;901222;27085;CLINICA SAN JUAN DE DIOS
2001;901223;45585;CLINICA SAN JUAN DE DIOS
2001;901224;32340;CLINICA SAN JUAN DE DIOS
2001;902213;1980;CLINICA SAN JUAN DE DIOS
2001;902110;15935;CLINICA SAN JUAN DE DIOS
2001;902111;2810;CLINICA SAN JUAN DE DIOS
2001;903426;19545;CLINICA SAN JUAN DE DIOS
2001;903427;14925;CLINICA SAN JUAN DE DIOS
2001;902113;9895;CLINICA SAN JUAN DE DIOS
2001;902114;7070;CLINICA SAN JUAN DE DIOS
2001;902207;6490;CLINICA SAN JUAN DE DIOS
2001;902208;8850;CLINICA SAN JUAN DE DIOS
2001;902209;10270;CLINICA SAN JUAN DE DIOS
2001;902210;11015;CLINICA SAN JUAN DE DIOS
2001;E19533;11100;CLINICA SAN JUAN DE DIOS
2001;902115;5170;CLINICA SAN JUAN DE DIOS
2001;902214;6390;CLINICA SAN JUAN DE DIOS
2001;902215;3095;CLINICA SAN JUAN DE DIOS
2001;903428;15955;CLINICA SAN JUAN DE DIOS
2001;902025;3020;CLINICA SAN JUAN DE DIOS
2001;902026;35605;CLINICA SAN JUAN DE DIOS
2001;906218;26580;CLINICA SAN JUAN DE DIOS
2001;906219;25930;CLINICA SAN JUAN DE DIOS
2001;906220;28300;CLINICA SAN JUAN DE DIOS
2001;906221;25930;CLINICA SAN JUAN DE DIOS
2001;906222;25930;CLINICA SAN JUAN DE DIOS
2001;906223;27440;CLINICA SAN JUAN DE DIOS
2001;906317;24430;CLINICA SAN JUAN DE DIOS
2001;906318;25930;CLINICA SAN JUAN DE DIOS
2001;906815;355415;CLINICA SAN JUAN DE DIOS
2001;906225;36585;CLINICA SAN JUAN DE DIOS
2001;906817;188495;CLINICA SAN JUAN DE DIOS
2001;906226;26580;CLINICA SAN JUAN DE DIOS
2001;906319;30575;CLINICA SAN JUAN DE DIOS
2001;906228;21300;CLINICA SAN JUAN DE DIOS
2001;906229;23885;CLINICA SAN JUAN DE DIOS
2001;906230;21300;CLINICA SAN JUAN DE DIOS
2001;906231;38705;CLINICA SAN JUAN DE DIOS
2001;906320;20340;CLINICA SAN JUAN DE DIOS
2001;905723;10090;CLINICA SAN JUAN DE DIOS
2001;904811;9450;CLINICA SAN JUAN DE DIOS
2001;904402;63220;CLINICA SAN JUAN DE DIOS
2001;904509;27440;CLINICA SAN JUAN DE DIOS
2001;902116;13790;CLINICA SAN JUAN DE DIOS
2001;903846;17220;CLINICA SAN JUAN DE DIOS
2001;908606;51230;CLINICA SAN JUAN DE DIOS
2001;908607;102470;CLINICA SAN JUAN DE DIOS
2001;906501;161310;CLINICA SAN JUAN DE DIOS
2001;906502;307730;CLINICA SAN JUAN DE DIOS
2001;906504;32695;CLINICA SAN JUAN DE DIOS
2001;906505;343330;CLINICA SAN JUAN DE DIOS
2001;906506;153475;CLINICA SAN JUAN DE DIOS
2001;M19150;9875;CLINICA SAN JUAN DE DIOS
2001;906118;39640;CLINICA SAN JUAN DE DIOS
2001;906507;91555;CLINICA SAN JUAN DE DIOS
2001;906508;72290;CLINICA SAN JUAN DE DIOS
2001;906509;174395;CLINICA SAN JUAN DE DIOS
2001;906510;87680;CLINICA SAN JUAN DE DIOS
2001;906119;16680;CLINICA SAN JUAN DE DIOS
2001;904103;20450;CLINICA SAN JUAN DE DIOS
2001;904104;27650;CLINICA SAN JUAN DE DIOS
